recipe_name,rating,url
Sea Salt-Roasted Pecans ,3.75,https://www.epicurious.com/recipes/food/views/sea-salt-roasted-pecans
Cucumber-Basil Egg Salad ,3.75,https://www.epicurious.com/recipes/food/views/cucumber-basil-egg-salad
Dried Pear Crisps ,2.5,https://www.epicurious.com/recipes/food/views/dried-pear-crisps
"Green Bean, Red Onion, and Roast Potato Salad with Rosemary Vinaigrette ",4.375,https://www.epicurious.com/recipes/food/views/green-bean-red-onion-and-roast-potato-salad-with-rosemary-vinaigrette
Apricot-Cherry Shortcakes ,4.375,https://www.epicurious.com/recipes/food/views/apricot-cherry-shortcakes
Asian Steak Topped with Bell Pepper Stir-Fry ,4.375,https://www.epicurious.com/recipes/food/views/asian-steak-topped-with-bell-pepper-stir-fry
Moroccan-Style Preserved Lemons ,5.0,https://www.epicurious.com/recipes/food/views/moroccan-style-preserved-lemons
Roasted Sweet-Potato Spears with Bacon Vinaigrette ,4.375,https://www.epicurious.com/recipes/food/views/roasted-sweet-potato-spears-with-bacon-vinaigrette
Deviled Ham ,3.125,https://www.epicurious.com/recipes/food/views/deviled-ham
Fontina Mac with Squash and Sage ,5.0,https://www.epicurious.com/recipes/food/views/fontina-mac-with-squash-and-sage
Aztec Chicken ,3.75,https://www.epicurious.com/recipes/food/views/aztec-chicken
Sauteed Broccoli Rabe ,4.375,https://www.epicurious.com/recipes/food/views/sauteed-broccoli-rabe
Grouper with Tomato and Basil ,4.375,https://www.epicurious.com/recipes/food/views/grouper-with-tomato-and-basil
Better-Than-Pita Grill Bread ,2.5,https://www.epicurious.com/recipes/food/views/better-than-pita-grill-bread
Coconut-Key Lime Sheet Cake ,4.375,https://www.epicurious.com/recipes/food/views/coconut-key-lime-sheet-cake
"Baked Halibut with Orzo, Spinach, and Cherry Tomatoes ",4.375,https://www.epicurious.com/recipes/food/views/baked-halibut-with-orzo-spinach-and-cherry-tomatoes
Purple-Potato and Crab Gratin ,3.75,https://www.epicurious.com/recipes/food/views/purple-potato-and-crab-gratin
"Grilled Beef, Jícama, and Apple Salad ",4.375,https://www.epicurious.com/recipes/food/views/grilled-beef-jcama-and-apple-salad
Pickled Red Onions ,4.375,https://www.epicurious.com/recipes/food/views/pickled-red-onions
Spicy Black Beans and Rice ,3.75,https://www.epicurious.com/recipes/food/views/spicy-black-beans-and-rice
Herbed Goat Cheese Spread with Mint ,4.375,https://www.epicurious.com/recipes/food/views/herbed-goat-cheese-spread-with-mint
Mexican Lime Soup ,4.375,https://www.epicurious.com/recipes/food/views/mexican-lime-soup
Citrus Salad with Mint Sugar ,4.375,https://www.epicurious.com/recipes/food/views/citrus-salad-with-mint-sugar
Mexican Chile and Mushroom Soup ,3.125,https://www.epicurious.com/recipes/food/views/mexican-chile-and-mushroom-soup
Peanut Butter-Banana Muffins ,3.75,https://www.epicurious.com/recipes/food/views/peanut-butter-banana-muffins
Braised Chicken With Artichokes and Olives ,4.375,https://www.epicurious.com/recipes/food/views/braised-chicken-with-artichokes-and-olives
Pancetta Roast Chicken with Walnut Stuffing ,5.0,https://www.epicurious.com/recipes/food/views/pancetta-roast-chicken-with-walnut-stuffing
1977 Coconut Angel Food Cake ,3.75,https://www.epicurious.com/recipes/food/views/1977-coconut-angel-food-cake
Collard-and-Prosciutto Chicken Roulades Over Watercress Salad ,5.0,https://www.epicurious.com/recipes/food/views/collard-and-prosciutto-chicken-roulades-over-watercress-salad
Veal Burgers Stuffed with Mozzarella Cheese ,4.375,https://www.epicurious.com/recipes/food/views/veal-burgers-stuffed-with-mozzarella-cheese
Pumpkin Muffins ,4.375,https://www.epicurious.com/recipes/food/views/pumpkin-muffins
Orange Balsamic Glaze ,3.75,https://www.epicurious.com/recipes/food/views/orange-balsamic-glaze
Roasted Eggplant and Olive Spread with Pita Bread Chips ,3.75,https://www.epicurious.com/recipes/food/views/roasted-eggplant-and-olive-spread-with-pita-bread-chips
Pecan Blue Cheese Crackers ,3.75,https://www.epicurious.com/recipes/food/views/pecan-blue-cheese-crackers
"Romaine, Grilled Avocado, and Smoky Corn Salad with Chipotle-Caesar Dressing ",4.375,https://www.epicurious.com/recipes/food/views/romaine-grilled-avocado-and-smoky-corn-salad-with-chipotle-caesar-dressing
Southwest Corn Bread Stuffing with Corn and Green Chilies ,5.0,https://www.epicurious.com/recipes/food/views/southwest-corn-bread-stuffing-with-corn-and-green-chilies
Mixed Berry Pavlovas ,3.75,https://www.epicurious.com/recipes/food/views/mixed-berry-pavlovas
Orange-Almond Cake with Chocolate Icing ,4.375,https://www.epicurious.com/recipes/food/views/orange-almond-cake-with-chocolate-icing
Scarborough Fair Tofu Burger ,3.125,https://www.epicurious.com/recipes/food/views/scarborough-fair-tofu-burger
Italian Vinaigrette ,3.75,https://www.epicurious.com/recipes/food/views/italian-vinaigrette
White Chocolate Tartlets with Strawberries and Bananas ,4.375,https://www.epicurious.com/recipes/food/views/white-chocolate-tartlets-with-strawberries-and-bananas
"Roasted Butternut Squash, Rosemary, and Garlic Lasagne ",4.375,https://www.epicurious.com/recipes/food/views/roasted-butternut-squash-rosemary-and-garlic-lasagne
Grilled Roast Beef and Stilton Sandwich ,4.375,https://www.epicurious.com/recipes/food/views/grilled-roast-beef-and-stilton-sandwich
Pear-Hazelnut Cheesecakes with Pear-Raspberry Sauce ,3.75,https://www.epicurious.com/recipes/food/views/pear-hazelnut-cheesecakes-with-pear-raspberry-sauce
Nut Butter ,3.75,https://www.epicurious.com/recipes/food/views/nut-butter
Cheese Ravioli with Fresh Tomato Sauce ,3.75,https://www.epicurious.com/recipes/food/views/cheese-ravioli-with-fresh-tomato-sauce
Banana Layer Cake with Cream Cheese Frosting ,4.375,https://www.epicurious.com/recipes/food/views/banana-layer-cake-with-cream-cheese-frosting
South American-Style Jícama and Orange Salad ,3.125,https://www.epicurious.com/recipes/food/views/south-american-style-jcama-and-orange-salad
Roasted Acorn Squash and Chestnuts ,3.75,https://www.epicurious.com/recipes/food/views/roasted-acorn-squash-and-chestnuts
Maple Pumpkin Pots de Crème ,4.375,https://www.epicurious.com/recipes/food/views/maple-pumpkin-pots-de-crme
Anadama Rolls with Mixed Seeds ,3.75,https://www.epicurious.com/recipes/food/views/anadama-rolls-with-mixed-seeds
"Braised Chicken and Rice with Orange, Saffron, Almond, and Pistachio Syrup ",4.375,https://www.epicurious.com/recipes/food/views/braised-chicken-and-rice-with-orange-saffron-almond-and-pistachio-syrup
Horseradish Dill Potato Salad ,4.375,https://www.epicurious.com/recipes/food/views/horseradish-dill-potato-salad
Chicken in Green Pumpkin-Seed Sauce ,4.375,https://www.epicurious.com/recipes/food/views/chicken-in-green-pumpkin-seed-sauce
Jeweled Rice ,5.0,https://www.epicurious.com/recipes/food/views/jeweled-rice
Braised Brisket with Bourbon-Peach Glaze ,4.375,https://www.epicurious.com/recipes/food/views/braised-brisket-with-bourbon-peach-glaze
Grilled Pork Chops with Classic Barbecue Sauce ,4.375,https://www.epicurious.com/recipes/food/views/grilled-pork-chops-with-classic-barbecue-sauce
Asparagus with Bacon and Onion ,4.375,https://www.epicurious.com/recipes/food/views/asparagus-with-bacon-and-onion
Ricotta Omelets ,3.75,https://www.epicurious.com/recipes/food/views/ricotta-omelets
"Carrot, Snow Pea, and Red Pepper Julienne in Honey Vinaigrette ",3.75,https://www.epicurious.com/recipes/food/views/carrot-snow-pea-and-red-pepper-julienne-in-honey-vinaigrette
Salmon with Chili-Mango Salsa ,4.375,https://www.epicurious.com/recipes/food/views/salmon-with-chili-mango-salsa
Turkey and Pinto Bean Chili ,4.375,https://www.epicurious.com/recipes/food/views/turkey-and-pinto-bean-chili
Cucumber-Yogurt Salad with Mint ,3.75,https://www.epicurious.com/recipes/food/views/cucumber-yogurt-salad-with-mint
Lamb Shanks Braised with Anise and Orange ,3.125,https://www.epicurious.com/recipes/food/views/lamb-shanks-braised-with-anise-and-orange
Acini di Pepe Pasta with Garlic and Olives ,4.375,https://www.epicurious.com/recipes/food/views/acini-di-pepe-pasta-with-garlic-and-olives
Roast Beef Salad with Cabbage and Horseradish ,3.125,https://www.epicurious.com/recipes/food/views/roast-beef-salad-with-cabbage-and-horseradish
Savoy Cabbage and Arugula Salad ,3.125,https://www.epicurious.com/recipes/food/views/savoy-cabbage-and-arugula-salad
"Fennel, Beet and Orange Salad with Olives ",4.375,https://www.epicurious.com/recipes/food/views/fennel-beet-and-orange-salad-with-olives
Shrimp Gazpacho ,4.375,https://www.epicurious.com/recipes/food/views/shrimp-gazpacho
Grilled Steak Salad with Beets and Scallions ,3.125,https://www.epicurious.com/recipes/food/views/grilled-steak-salad-with-beets-and-scallions
Parsnip and Apple Soup ,4.375,https://www.epicurious.com/recipes/food/views/parsnip-and-apple-soup
Short Rib Pot Pie ,5.0,https://www.epicurious.com/recipes/food/views/short-rib-pot-pie
Stout Floats ,3.125,https://www.epicurious.com/recipes/food/views/stout-floats
Apricot-Pistachio Muffins Baked on the Grill ,5.0,https://www.epicurious.com/recipes/food/views/apricot-pistachio-muffins-baked-on-the-grill
Garlic Bruschetta ,3.75,https://www.epicurious.com/recipes/food/views/garlic-bruschetta
Asian Noodles with Barbecued Duck Confit ,5.0,https://www.epicurious.com/recipes/food/views/asian-noodles-with-barbecued-duck-confit
Sausage Fennel Stuffing ,4.375,https://www.epicurious.com/recipes/food/views/sausage-fennel-stuffing
Banana Split with Curried Chocolate-Coconut Sauce ,3.75,https://www.epicurious.com/recipes/food/views/banana-split-with-curried-chocolate-coconut-sauce
Escarole and Cheese Spoon Bread ,4.375,https://www.epicurious.com/recipes/food/views/escarole-and-cheese-spoon-bread
Honey-Ginger Barbecue Sauce ,4.375,https://www.epicurious.com/recipes/food/views/honey-ginger-barbecue-sauce
"Baked Pears with Rosemary, Gorgonzola Cheese and Port ",3.75,https://www.epicurious.com/recipes/food/views/baked-pears-with-rosemary-gorgonzola-cheese-and-port
Kids' Matzoh Pizza ,3.125,https://www.epicurious.com/recipes/food/views/kids-matzoh-pizza
"Cranberry, Quince, and Pearl Onion Compote ",3.75,https://www.epicurious.com/recipes/food/views/cranberry-quince-and-pearl-onion-compote
Chocolate-Mint Shamrock Shake ,5.0,https://www.epicurious.com/recipes/food/views/chocolate-mint-shamrock-shake
Tropical Rum Punch ,5.0,https://www.epicurious.com/recipes/food/views/tropical-rum-punch
Chickpea Salad Sandwich With Creamy Carrot-Radish Slaw ,3.75,https://www.epicurious.com/recipes/food/views/chickpea-salad-sandwich-with-creamy-carrot-radish-slaw
Blackberry-Raspberry Sauce ,4.375,https://www.epicurious.com/recipes/food/views/blackberry-raspberry-sauce
Laddie's Sub-Bourbon ,2.5,https://www.epicurious.com/recipes/food/views/laddies-sub-bourbon
Red Cabbage and Onions ,3.75,https://www.epicurious.com/recipes/food/views/red-cabbage-and-onions
"Roast Cod with Potatoes, Onions, and Olives ",3.75,https://www.epicurious.com/recipes/food/views/roast-cod-with-potatoes-onions-and-olives
Cod Cannelloni with Swiss Chard and Roasted Pepper ,2.5,https://www.epicurious.com/recipes/food/views/cod-cannelloni-with-swiss-chard-and-roasted-pepper
Swiss Chard with Roasted Pepper ,3.75,https://www.epicurious.com/recipes/food/views/swiss-chard-with-roasted-pepper
Pastry Dough ,5.0,https://www.epicurious.com/recipes/food/views/pastry-dough
Roasted Bell Pepper Halves Stuffed with Bulgur and Spinach ,4.375,https://www.epicurious.com/recipes/food/views/roasted-bell-pepper-halves-stuffed-with-bulgur-and-spinach
Spicy Sesame Noodles with Chopped Peanuts and Thai Basil ,4.375,https://www.epicurious.com/recipes/food/views/spicy-sesame-noodles-with-chopped-peanuts-and-thai-basil
Potato Gratin with Goat Cheese and Garlic ,4.375,https://www.epicurious.com/recipes/food/views/potato-gratin-with-goat-cheese-and-garlic
Country Sausage and Sage Dressing ,4.375,https://www.epicurious.com/recipes/food/views/country-sausage-and-sage-dressing
Buttermilk-Spinach Spaetzle ,2.5,https://www.epicurious.com/recipes/food/views/buttermilk-spinach-spaetzle
Radishes with Burrata ,5.0,https://www.epicurious.com/recipes/food/views/radishes-with-burrata
Winter Squash Soufflé ,3.75,https://www.epicurious.com/recipes/food/views/winter-squash-souffl
Blueberry Streusel Cake ,3.75,https://www.epicurious.com/recipes/food/views/blueberry-streusel-cake
Honey Mustard Sauce ,3.75,https://www.epicurious.com/recipes/food/views/honey-mustard-sauce
Rosemary and Lemon Pinto Beans ,3.75,https://www.epicurious.com/recipes/food/views/rosemary-and-lemon-pinto-beans
Shrimp and Green Onion Pancakes ,3.75,https://www.epicurious.com/recipes/food/views/shrimp-and-green-onion-pancakes
"Gnocchi with Tomato, Basil, and Olives ",4.375,https://www.epicurious.com/recipes/food/views/gnocchi-with-tomato-basil-and-olives
Mustard-Ginger Shrimp Canapes ,4.375,https://www.epicurious.com/recipes/food/views/mustard-ginger-shrimp-canapes
Rumbrosia ,3.125,https://www.epicurious.com/recipes/food/views/rumbrosia
Roasted Root Vegetables ,4.375,https://www.epicurious.com/recipes/food/views/roasted-root-vegetables
Thai Vegetables ,3.75,https://www.epicurious.com/recipes/food/views/thai-vegetables
Sage-Roasted Turkey with Caramelized Onions and Sage Gravy ,4.375,https://www.epicurious.com/recipes/food/views/sage-roasted-turkey-with-caramelized-onions-and-sage-gravy
Shrimp Cakes with Andouille Sausage ,4.375,https://www.epicurious.com/recipes/food/views/shrimp-cakes-with-andouille-sausage
Creamy Tofu Salad ,3.125,https://www.epicurious.com/recipes/food/views/creamy-tofu-salad
Chocolate-Cherry Ice Cream Pie with Hot Fudge Sauce ,3.75,https://www.epicurious.com/recipes/food/views/chocolate-cherry-ice-cream-pie-with-hot-fudge-sauce
Jalapeño-Cheddar Frittata ,4.375,https://www.epicurious.com/recipes/food/views/jalapeo-cheddar-frittata
Roasted Beets and Citrus with Feta ,4.375,https://www.epicurious.com/recipes/food/views/roasted-beets-and-citrus-with-feta
"Green Beans with Crisp Shallots, Chile, and Mint ",4.375,https://www.epicurious.com/recipes/food/views/green-beans-with-crisp-shallots-chile-and-mint
Potato Gnocchi with Shrimp and Peas ,3.125,https://www.epicurious.com/recipes/food/views/potato-gnocchi-with-shrimp-and-peas
Cranberry Pear Tart with Gingerbread Crust ,3.75,https://www.epicurious.com/recipes/food/views/cranberry-pear-tart-with-gingerbread-crust
"Sauteed Veal with Shrimp, Mushroom, and Brandy Cream Sauce ",4.375,https://www.epicurious.com/recipes/food/views/sauteed-veal-with-shrimp-mushroom-and-brandy-cream-sauce
Lemon Vinaigrette ,3.75,https://www.epicurious.com/recipes/food/views/lemon-vinaigrette
Mackerel with Crushed Potatoes and Oregano ,4.375,https://www.epicurious.com/recipes/food/views/mackerel-with-crushed-potatoes-and-oregano
"Cranberry, Shallot, and Dried-Cherry Compote ",5.0,https://www.epicurious.com/recipes/food/views/cranberry-shallot-and-dried-cherry-compote
Oriental Chicken and Cabbage Salad ,3.75,https://www.epicurious.com/recipes/food/views/oriental-chicken-and-cabbage-salad
Peanut Butter Cream Tart ,4.375,https://www.epicurious.com/recipes/food/views/peanut-butter-cream-tart
Cheddar Chicken Tenders with Wilted Spinach ,3.75,https://www.epicurious.com/recipes/food/views/cheddar-chicken-tenders-with-wilted-spinach
Blueberry Cheesecake ,5.0,https://www.epicurious.com/recipes/food/views/blueberry-cheesecake
Dark Chocolate Wedding Cake with Chocolate Orange Ganache and Orange Buttercream ,4.375,https://www.epicurious.com/recipes/food/views/dark-chocolate-wedding-cake-with-chocolate-orange-ganache-and-orange-buttercream
Apple Pie with Whisky-Soaked Cherries ,4.375,https://www.epicurious.com/recipes/food/views/apple-pie-with-whisky-soaked-cherries
Parsleyed Yellow-Potato Salad ,3.75,https://www.epicurious.com/recipes/food/views/parsleyed-yellow-potato-salad
Sauteed Fennel and Carrots ,4.375,https://www.epicurious.com/recipes/food/views/sauteed-fennel-and-carrots
Grilled Garlic-Marinated Skirt Steak with Lime ,4.375,https://www.epicurious.com/recipes/food/views/grilled-garlic-marinated-skirt-steak-with-lime
Miniature Crab Cakes with Tomato Ginger Jam ,4.375,https://www.epicurious.com/recipes/food/views/miniature-crab-cakes-with-tomato-ginger-jam
Red Wine Brasato with Glazed Root Vegetables ,3.75,https://www.epicurious.com/recipes/food/views/red-wine-brasato-with-glazed-root-vegetables
Tomato Jam ,3.75,https://www.epicurious.com/recipes/food/views/tomato-jam
Egg Salad with Lemon and Fennel ,4.375,https://www.epicurious.com/recipes/food/views/egg-salad-with-lemon-and-fennel
Steamed Chicken with Black Mushrooms and Bok Choy ,4.375,https://www.epicurious.com/recipes/food/views/steamed-chicken-with-black-mushrooms-and-bok-choy
Shaved Brussels Sprout and Shallot Sauté ,4.375,https://www.epicurious.com/recipes/food/views/shaved-brussels-sprout-and-shallot-saut
Molten Peanut Butter and Chocolate Fondant Cakes ,2.5,https://www.epicurious.com/recipes/food/views/molten-peanut-butter-and-chocolate-fondant-cakes
Roasted Carrot and Beet Salad with Feta ,4.375,https://www.epicurious.com/recipes/food/views/roasted-carrot-and-beet-salad-with-feta
Cassata Cake ,4.375,https://www.epicurious.com/recipes/food/views/cassata-cake
Baked Beans with Slab Bacon and Breadcrumbs ,4.375,https://www.epicurious.com/recipes/food/views/baked-beans-with-slab-bacon-and-breadcrumbs
Grilled Corn with Lime-Cilantro Butter ,5.0,https://www.epicurious.com/recipes/food/views/grilled-corn-with-lime-cilantro-butter
Roasted Winter Squash and Parsnips with Maple Syrup Glaze and Marcona Almonds ,4.375,https://www.epicurious.com/recipes/food/views/roasted-winter-squash-and-parsnips-with-maple-syrup-glaze-and-marcona-almonds
Maple Butter-Pecan Ice Cream ,5.0,https://www.epicurious.com/recipes/food/views/maple-butter-pecan-ice-cream
Grilled Vegetable Antipasto with Herbed Chevre and Crostini ,5.0,https://www.epicurious.com/recipes/food/views/grilled-vegetable-antipasto-with-herbed-chevre-and-crostini
Roasted Bell Peppers with Basil and Balsamic Vinegar ,5.0,https://www.epicurious.com/recipes/food/views/roasted-bell-peppers-with-basil-and-balsamic-vinegar
Homemade Tomato Ketchup ,3.75,https://www.epicurious.com/recipes/food/views/homemade-tomato-ketchup
Char-Grilled Beef Tenderloin with Three-Herb Chimichurri ,4.375,https://www.epicurious.com/recipes/food/views/char-grilled-beef-tenderloin-with-three-herb-chimichurri
Pork Roast Braised with Milk and Fresh Herbs (Maiale al Latte ) ,3.75,https://www.epicurious.com/recipes/food/views/pork-roast-braised-with-milk-and-fresh-herbs-maiale-al-latte
Seasoned Nori Wrappers ,5.0,https://www.epicurious.com/recipes/food/views/seasoned-nori-wrappers
Chocolate Pecan Banana Tarts ,4.375,https://www.epicurious.com/recipes/food/views/chocolate-pecan-banana-tarts
Chocolate Hazelnut Pound Cake with Chocolate Glaze ,3.75,https://www.epicurious.com/recipes/food/views/chocolate-hazelnut-pound-cake-with-chocolate-glaze
Tarragon Tartar Sauce ,3.75,https://www.epicurious.com/recipes/food/views/tarragon-tartar-sauce
Chili Meatballs in Black Bean and Tomato Sauce ,4.375,https://www.epicurious.com/recipes/food/views/chili-meatballs-in-black-bean-and-tomato-sauce
Orange Mint Julep ,5.0,https://www.epicurious.com/recipes/food/views/orange-mint-julep
Coq au Vin Nouveau ,4.375,https://www.epicurious.com/recipes/food/views/coq-au-vin-nouveau
Lemon-Parsley Linguine ,3.125,https://www.epicurious.com/recipes/food/views/lemon-parsley-linguine
Marbled Raspberry Cream ,5.0,https://www.epicurious.com/recipes/food/views/marbled-raspberry-cream
Sangria IV ,5.0,https://www.epicurious.com/recipes/food/views/sangria-iv
Apple and Prune Tart with Vanilla Ice Cream and Cognac ,4.375,https://www.epicurious.com/recipes/food/views/apple-and-prune-tart-with-vanilla-ice-cream-and-cognac
Smoky Plantain Crema ,4.375,https://www.epicurious.com/recipes/food/views/smoky-plantain-crema
Southwest Veggie Nachos ,5.0,https://www.epicurious.com/recipes/food/views/southwest-veggie-nachos
Pork Chops with Sweet-and-Sour Cider Glaze ,4.375,https://www.epicurious.com/recipes/food/views/pork-chops-with-sweet-and-sour-cider-glaze
Chicken and Sausage Jambalaya ,5.0,https://www.epicurious.com/recipes/food/views/chicken-and-sausage-jambalaya
Veal Scallops with Mushrooms and Herbs ,4.375,https://www.epicurious.com/recipes/food/views/veal-scallops-with-mushrooms-and-herbs
Heirloom Tomato Salad with Blue Cheese ,4.375,https://www.epicurious.com/recipes/food/views/heirloom-tomato-salad-with-blue-cheese
Fried Fish with Moroccan-Style Herb Sauce ,4.375,https://www.epicurious.com/recipes/food/views/fried-fish-with-moroccan-style-herb-sauce
Spicy Noodles with Ginger and Fresh Vegetables ,3.125,https://www.epicurious.com/recipes/food/views/spicy-noodles-with-ginger-and-fresh-vegetables
Ginger Crème Brûlée ,4.375,https://www.epicurious.com/recipes/food/views/ginger-crme-brle
Bratwurst and Red Cabbage ,4.375,https://www.epicurious.com/recipes/food/views/bratwurst-and-red-cabbage
"Chocolate, Walnut and Prune Fudge Torte ",4.375,https://www.epicurious.com/recipes/food/views/chocolate-walnut-and-prune-fudge-torte
Kale with Sauteed Apple and Onion ,3.75,https://www.epicurious.com/recipes/food/views/kale-with-sauteed-apple-and-onion
Mocha Brownies ,3.125,https://www.epicurious.com/recipes/food/views/mocha-brownies
Onion and Cider Soup with Roquefort Croutons ,3.75,https://www.epicurious.com/recipes/food/views/onion-and-cider-soup-with-roquefort-croutons
Eggnog ,2.5,https://www.epicurious.com/recipes/food/views/eggnog
"Spinach, Feta, and Phyllo Purses ",3.75,https://www.epicurious.com/recipes/food/views/spinach-feta-and-phyllo-purses
Salmon Confit in Olive Oil with Arugula Salad and Balsamic Vinegar ,5.0,https://www.epicurious.com/recipes/food/views/salmon-confit-in-olive-oil-with-arugula-salad-and-balsamic-vinegar
Wild Rice with Carrots ,3.125,https://www.epicurious.com/recipes/food/views/wild-rice-with-carrots
Cherry Cola Barbecue Sauce ,5.0,https://www.epicurious.com/recipes/food/views/cherry-cola-barbecue-sauce
Golden Turkey Stock ,5.0,https://www.epicurious.com/recipes/food/views/golden-turkey-stock
"Chicken, Corn, and Noodle Soup with Saffron ",4.375,https://www.epicurious.com/recipes/food/views/chicken-corn-and-noodle-soup-with-saffron
D.i.y. Drinks Bar ,4.375,https://www.epicurious.com/recipes/food/views/diy-drinks-bar
Yellow Squash and Bell Pepper Torte ,3.125,https://www.epicurious.com/recipes/food/views/yellow-squash-and-bell-pepper-torte
Black Bean and Vegetable Wraps ,4.375,https://www.epicurious.com/recipes/food/views/black-bean-and-vegetable-wraps
Fennel-Rubbed Pork Roast ,5.0,https://www.epicurious.com/recipes/food/views/fennel-rubbed-pork-roast
Beef Stroganoff with Tomatoes ,3.75,https://www.epicurious.com/recipes/food/views/beef-stroganoff-with-tomatoes
Mashed Potato and Cauliflower Gratin ,4.375,https://www.epicurious.com/recipes/food/views/mashed-potato-and-cauliflower-gratin
Butternut Squash-Parsnip Soup with Thyme ,4.375,https://www.epicurious.com/recipes/food/views/butternut-squash-parsnip-soup-with-thyme
Honey-Cinnamon Ice Cream ,5.0,https://www.epicurious.com/recipes/food/views/honey-cinnamon-ice-cream
"Crispy Bruschetta with Goat Cheese, Tomatoes and Mint ",4.375,https://www.epicurious.com/recipes/food/views/crispy-bruschetta-with-goat-cheese-tomatoes-and-mint
Ginger-Wasabi Halibut Brochettes ,3.125,https://www.epicurious.com/recipes/food/views/ginger-wasabi-halibut-brochettes
Banana Coffee Cake Diamond ,3.75,https://www.epicurious.com/recipes/food/views/banana-coffee-cake-diamond
Green Olive Relish ,3.75,https://www.epicurious.com/recipes/food/views/green-olive-relish
Apple Treacle Tart ,4.375,https://www.epicurious.com/recipes/food/views/apple-treacle-tart
The BA Patty Melt ,4.375,https://www.epicurious.com/recipes/food/views/the-ba-patty-melt
Butter-Rum Baked Apples ,3.75,https://www.epicurious.com/recipes/food/views/butter-rum-baked-apples
Avocado and Smoked Pork Carnitas ,1.25,https://www.epicurious.com/recipes/food/views/avocado-and-smoked-pork-carnitas
Grilled Turkey with Toasted Fennel and Coriander and Fresh Thyme Gravy ,4.375,https://www.epicurious.com/recipes/food/views/grilled-turkey-with-toasted-fennel-and-coriander-and-fresh-thyme-gravy
Herb-Roasted Turkey ,4.375,https://www.epicurious.com/recipes/food/views/herb-roasted-turkey
Crab Cakes with Red Chili Mayonnaise ,5.0,https://www.epicurious.com/recipes/food/views/crab-cakes-with-red-chili-mayonnaise
Cherry-Apricot Cobbler ,3.125,https://www.epicurious.com/recipes/food/views/cherry-apricot-cobbler
Romaine-Wrapped Halibut ,3.75,https://www.epicurious.com/recipes/food/views/romaine-wrapped-halibut
Sour Cream Apple Pie ,4.375,https://www.epicurious.com/recipes/food/views/sour-cream-apple-pie
